vigencia,ato,ano_ato,item,UF,QAV,AEHC,GNV,GNI,OLEO_LITRO,OLEO_KG,fonte_dou
2026-08-01,20,2026,18,PR,-,"4,2756","4,5057",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,19,RJ,"2,4456","**4,7800","**4,3300",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,20,RN,-,"**5,2500","**5,0300",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,21,RO,-,"5,3460",-,-,"4,0864",-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,22,RR,"9,0400","5,4140",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,23,RS,-,"**4,4524","**4,8338",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,24,SC,-,"**4,4122","*4,7615",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,25,SE,"**6,7380","**5,4310","*4,8130",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,26,SP,-,"3,8500",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,27,TO,"9,7700","5,2100",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-02-16,4,2026,1,AC,-,"5,2254",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,2,AL,"3,4910","5,1155","4,5764",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,3,AM,-,"**5,4243","3,1594","1,7773",-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,4,AP,-,"5,7900",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,5,BA,-,"4,5900","3,6940",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,6,CE,-,"4,9850","5,1334",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,7,DF,-,"*5,0700","6,7800",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,8,ES,-,"*4,8190","*4,1825",-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
2026-02-16,4,2026,9,GO,-,"4,7342",-,-,-,-,DOU 10/02/2026 ed.28 s.1 p.24
